Sortchem	Site	Experiment_Date	Collection_Date	Bottle_name	Experiment_type	H2O2_addition	Condition	Ng_std_added	Spiked_copy_number	mLs_filtered	Enough_reads
E2019_1152_1_2	Unnamed7	17-Sep-19	16-Sep-19	LWS.1 T=0	Light_Dark	Spike	WL	0.57	4.96E+05	150	Yes
E2019_1152_2	Unnamed7	17-Sep-19	16-Sep-19	LWS.2 T=0	Light_Dark	Spike	WL	0.57	4.96E+05	150	Yes
E2019_1153_1	Unnamed7	17-Sep-19	16-Sep-19	DWC.1 T=0	Light_Dark	Control	WD	0.57	4.96E+05	150	Yes
E2019_1153_2	Unnamed7	17-Sep-19	16-Sep-19	DWC.2 T=0	Light_Dark	Control	WD	0.57	4.96E+05	150	Yes
E2019_1154_1	Unnamed7	17-Sep-19	16-Sep-19	DWS.1 T=0	Light_Dark	Spike	WD	0.57	4.96E+05	150	Yes
E2019_1154_2	Unnamed7	17-Sep-19	16-Sep-19	DWS.2 T=0	Light_Dark	Spike	WD	0.57	4.96E+05	150	Yes
E2019_1176_1	Unnamed8	20-Sep-19	19-Sep-19	LWC.1 T=0	Size_Frac	Control	WL	0.58	5.05E+05	150	Yes
E2019_1176_2	Unnamed8	20-Sep-19	19-Sep-19	LWC.2 T=0	Size_Frac	Control	WL	0.58	5.05E+05	150	Yes
E2019_1177_1_2	Unnamed8	20-Sep-19	19-Sep-19	LWS.1 T=0	Size_Frac	Spike	WL	0.58	5.05E+05	150	Yes
E2019_1177_2	Unnamed8	20-Sep-19	19-Sep-19	LWS.2 T=0	Size_Frac	Spike	WL	0.58	5.05E+05	150	Yes
E2019_1178_1	Unnamed8	20-Sep-19	19-Sep-19	<100C.1 T=0	Size_Frac	Control	FL	0.51	4.44E+05	150	Yes
E2019_1178_2	Unnamed8	20-Sep-19	19-Sep-19	<100C.2 T=0	Size_Frac	Control	FL	0.51	4.44E+05	150	Yes
E2019_1179_1	Unnamed8	20-Sep-19	19-Sep-19	<100S.1 T=0	Size_Frac	Spike	FL	0.51	4.44E+05	150	Yes
E2019_1179_2	Unnamed8	20-Sep-19	19-Sep-19	<100S.2 T=0	Size_Frac	Spike	FL	0.51	4.44E+05	150	Yes
Kit_Control_1	NA	NA	NA	NA	NA	NA	NA	0	0.00E+00	NA	No
Kit_Control_4	NA	NA	NA	NA	NA	NA	NA	0	0.00E+00	NA	No
